corpus_id,reviewer,date,scenario_id,flow,occasion,relationship,context_richness,version,hf_any,hf_codes,d01_opening,d02_closing,d03_emotion_prog,d04_naturalness,d05_authenticity,d06_rhythm,d07_voice,d08_occasion,d09_relationship,d10_tone,d11_emotional_level,d12_primary_clarity,d13_support_use,d14_specificity,d15_warmth,d16_humor,d17_memorability,d18_read_aloud,d19_anti_ai,d20_send_readiness,soft_mean,send_yes,tags,notes_short
pilot-9B.1-v2-20260720,"Cursor evaluator (single-pass)",2026-07-20,G01,guest,"Thank You",Mom,primary_plus_support,Draft,No,,4,5,4,4,4,4,5,5,5,4,4,5,5,5,4,N/A,4,4,4,5,4.42,Yes,"Q-DEED-EARLY,Q-SUPPORT-AS-COLOR,Q-EARNED-CLOSE,Q-REGISTER-TIGHT","Insurance early; fight as color; concrete breathe-easier close (no abstract claim)."
pilot-9B.1-v2-20260720,"Cursor evaluator (single-pass)",2026-07-20,G02,guest,"Thank You",Mom,primary_only,Draft,No,,3,3,3,3,3,3,3,4,4,4,4,5,N/A,3,3,N/A,2,3,3,3,3.28,Yes,"Q-DEED-EARLY,Q-HONEST-SPARSE,P-UNIFORM-SENTENCES","Subject clear under Simple; flat/repetitive; process line generic not fabricated."
pilot-9B.1-v2-20260720,"Cursor evaluator (single-pass)",2026-07-20,G03,guest,"Birthday",Friend,sparse,Draft,No,,4,4,3,4,4,4,5,5,4,5,5,4,N/A,3,4,5,4,4,4,4,4.16,Yes,"Q-HUMOR-LANDS,Q-HONEST-SPARSE,Q-SPOKEN-RHYTHM","Meta proof-of-life humor fits Just Funny; no invented shared history."
pilot-9B.1-v2-20260720,"Cursor evaluator (single-pass)",2026-07-20,G04,guest,"Anniversary",Wife,primary_plus_support,Draft,No,,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,N/A,5,5,4,5,4.89,Yes,"Q-DEED-EARLY,Q-SUPPORT-AS-COLOR,Q-SPOKEN-RHYTHM,Q-EARNED-CLOSE,Q-REGISTER-TIGHT","Ordinary Tuesdays dominant; toast subordinate; deep earned Tuesday close. Protect HOLD."
pilot-9B.1-v2-20260720,"Cursor evaluator (single-pass)",2026-07-20,G05,guest,"Holiday",Dad,primary_only,Draft,No,,5,5,4,5,5,4,5,5,5,5,4,5,N/A,5,4,N/A,4,5,5,5,4.72,Yes,"Q-DEED-EARLY,Q-EARNED-CLOSE,Q-REGISTER-TIGHT,Q-HONEST-SPARSE","Storm drive immediate; Christmas table anchored; concrete home-for-dinner close."
pilot-9B.1-v2-20260720,"Cursor evaluator (single-pass)",2026-07-20,G06,guest,"Sympathy",Friend,primary_only,Draft,No,,5,5,4,5,5,4,5,5,5,5,5,5,N/A,4,5,N/A,4,5,5,5,4.78,Yes,"Q-REGISTER-TIGHT,Q-EARNED-CLOSE,Q-HONEST-SPARSE","Loss acknowledged; practical offers without cheerleading or invented past."
pilot-9B.1-v2-20260720,"Cursor evaluator (single-pass)",2026-07-20,G07,guest,"Congratulations",Son,primary_plus_support,Draft,No,,5,5,4,5,5,4,5,5,5,5,4,5,5,5,4,N/A,5,5,5,5,4.79,Yes,"Q-DEED-EARLY,Q-SUPPORT-AS-COLOR,Q-SPOKEN-RHYTHM,Q-EARNED-CLOSE","Marathon + mile-18 text; sleep-past-sunrise earned close. Protect HOLD."
pilot-9B.1-v2-20260720,"Cursor evaluator (single-pass)",2026-07-20,G08,guest,"Apology",Husband,primary_plus_support,Draft,No,,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,N/A,4,5,5,5,4.84,Yes,"Q-DEED-EARLY,Q-SUPPORT-AS-COLOR,Q-EARNED-CLOSE,Q-REGISTER-TIGHT","Owns snap + Saturday intent; concrete reset close; no I-see-it claim (P-AI-CLAIMS cleared)."
pilot-9B.1-v2-20260720,"Cursor evaluator (single-pass)",2026-07-20,G09,guest,"Just Because",Daughter,primary_only,Draft,No,,4,4,4,4,4,4,4,5,5,4,4,5,N/A,5,4,N/A,4,4,4,4,4.22,Yes,"Q-DEED-EARLY,Q-REGISTER-TIGHT,Q-EARNED-CLOSE","Pancake mornings center; fresh-stack forward close; less thank-framing than V1."
pilot-9B.1-v2-20260720,"Cursor evaluator (single-pass)",2026-07-20,G10,guest,"Thinking Of You",Grandparent,sparse,Draft,No,,3,3,2,3,4,2,4,4,4,4,4,4,N/A,2,4,N/A,2,3,4,3,3.28,Yes,"Q-HONEST-SPARSE,Q-REGISTER-TIGHT","Invent-free but thinner/flatter than V1; grateful-Nana line generic. Soft regression."
pilot-9B.1-v2-20260720,"Cursor evaluator (single-pass)",2026-07-20,G11,guest,"Thank You",Coworker,primary_only,Draft,No,,4,3,3,3,3,3,3,5,5,4,4,5,N/A,4,3,N/A,3,3,3,3,3.56,No,"Q-DEED-EARLY,Q-REGISTER-TIGHT,P-UNIFORM-SENTENCES","Deed clear; shorter than V1 but thank/appreciate/thanks-again stack remains. 9B.2 target."
pilot-9B.1-v2-20260720,"Cursor evaluator (single-pass)",2026-07-20,G12,guest,"Congratulations",Boss,primary_only,Draft,No,,5,4,3,5,5,4,5,5,5,5,4,5,N/A,4,3,N/A,4,5,5,5,4.50,Yes,"Q-DEED-EARLY,Q-REGISTER-TIGHT,Q-EARNED-CLOSE,Q-HONEST-SPARSE","VP + run-a-room; tight professional distance retained."
pilot-9B.1-v2-20260720,"Cursor evaluator (single-pass)",2026-07-20,G13,guest,"Thank You",Teacher,primary_plus_support,Draft,No,,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,N/A,5,5,5,5,4.95,Yes,"Q-DEED-EARLY,Q-SUPPORT-AS-COLOR,Q-SPOKEN-RHYTHM,Q-EARNED-CLOSE,Q-REGISTER-TIGHT","Reading confidence primary; hair-to-volunteer support as proof. Protect HOLD."
pilot-9B.1-v2-20260720,"Cursor evaluator (single-pass)",2026-07-20,G14,guest,"Birthday",Sister,primary_plus_support,Draft,No,,5,4,4,5,5,4,5,5,5,5,4,5,5,5,3,5,5,5,4,5,4.65,Yes,"Q-HUMOR-LANDS,Q-SUPPORT-AS-COLOR,Q-DEED-EARLY,Q-SPOKEN-RHYTHM","Sideways caller + tacos/zero advice; roast-boundary respected."
pilot-9B.1-v2-20260720,"Cursor evaluator (single-pass)",2026-07-20,G15,authenticated_body,"Birthday",Dad,rich,Draft,No,,4,4,4,4,5,4,5,4,5,4,4,4,5,5,4,N/A,4,4,4,4,4.26,Yes,"Q-SUPPORT-AS-COLOR,Q-DEED-EARLY,Q-REGISTER-TIGHT,Q-EARNED-CLOSE","Teach-fix + sink color; birthday still delayed one beat; forward leak-call close."
pilot-9B.1-v2-20260720,"Cursor evaluator (single-pass)",2026-07-20,G16,authenticated_body,"Thank You",Mom,rich,Draft,No,,5,5,4,4,5,4,5,5,5,4,4,5,5,5,4,N/A,4,4,4,5,4.53,Yes,"Q-DEED-EARLY,Q-SUPPORT-AS-COLOR,Q-EARNED-CLOSE,Q-REGISTER-TIGHT","Insurance + hold retained; concrete coverage close; P-AI-CLAIMS/P-GRATITUDE-ESSAY cleared; send flipped."
pilot-9B.1-v2-20260720,"Cursor evaluator (single-pass)",2026-07-20,G17,authenticated_body,"Anniversary",Husband,rich,Draft,No,,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,N/A,5,5,4,5,4.89,Yes,"Q-DEED-EARLY,Q-SUPPORT-AS-COLOR,Q-SPOKEN-RHYTHM,Q-EARNED-CLOSE,Q-REGISTER-TIGHT","Errands primary; stove + fries color; tighter than V1 (length bloat cleared). Protect HOLD."
pilot-9B.1-v2-20260720,"Cursor evaluator (single-pass)",2026-07-20,G18,authenticated_body,"Get Well",Coworker,sparse,Draft,No,,5,4,3,4,4,4,5,5,5,4,4,5,N/A,4,4,N/A,4,4,4,4,4.22,Yes,"Q-DEED-EARLY,Q-REGISTER-TIGHT,Q-HONEST-SPARSE","Surgery recovery + coffee from primary; deadline reliability as light close."
pilot-9B.1-v2-20260720,"Cursor evaluator (single-pass)",2026-07-20,G19,authenticated_body,"Graduation",Daughter,rich,Draft,No,,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,N/A,5,5,5,5,4.95,Yes,"Q-DEED-EARLY,Q-SUPPORT-AS-COLOR,Q-SPOKEN-RHYTHM,Q-EARNED-CLOSE","Diploma + senior project + community weave; hold-diploma close concrete; I-see cadence cleared."
pilot-9B.1-v2-20260720,"Cursor evaluator (single-pass)",2026-07-20,G20,authenticated_body,"Apology",Friend,rich,Draft,No,,5,5,4,5,5,5,5,5,5,5,4,5,5,5,4,N/A,4,5,5,5,4.79,Yes,"Q-DEED-EARLY,Q-SUPPORT-AS-COLOR,Q-EARNED-CLOSE,Q-SPOKEN-RHYTHM,Q-HONEST-SPARSE","Owns cancel; corner-table detail once; clean make-good offer."
