corpus_id,reviewer,date,scenario_id,flow,occasion,relationship,context_richness,version,hf_any,hf_codes,d01_opening,d02_closing,d03_emotion_prog,d04_naturalness,d05_authenticity,d06_rhythm,d07_voice,d08_occasion,d09_relationship,d10_tone,d11_emotional_level,d12_primary_clarity,d13_support_use,d14_specificity,d15_warmth,d16_humor,d17_memorability,d18_read_aloud,d19_anti_ai,d20_send_readiness,soft_mean,send_yes,tags,notes_short
pilot-9A.2-20260715,"Cursor evaluator (single-pass)",2026-07-15,G01,guest,"Thank You",Mom,primary_plus_support,Draft,No,,4,4,4,4,4,4,5,5,5,4,4,5,5,5,4,N/A,4,4,4,5,4.37,Yes,"Q-DEED-EARLY,Q-SUPPORT-AS-COLOR,Q-EARNED-CLOSE,Q-REGISTER-TIGHT","Insurance named early; fight support as brief color; muted heartfelt close."
pilot-9A.2-20260715,"Cursor evaluator (single-pass)",2026-07-15,G02,guest,"Thank You",Mom,primary_only,Draft,No,,3,3,3,3,3,3,3,4,4,4,4,5,N/A,3,3,N/A,2,3,3,3,3.28,Yes,"Q-DEED-EARLY,Q-HONEST-SPARSE,P-UNIFORM-SENTENCES","Subject clear under Simple; repeats insurance; process line generic not fabricated memory."
pilot-9A.2-20260715,"Cursor evaluator (single-pass)",2026-07-15,G03,guest,"Birthday",Friend,sparse,Draft,No,,4,4,3,4,4,4,5,5,4,5,5,4,N/A,3,4,5,4,4,4,4,4.16,Yes,"Q-HUMOR-LANDS,Q-HONEST-SPARSE,Q-SPOKEN-RHYTHM","Meta-status humor fits Just Funny; no invented shared history."
pilot-9A.2-20260715,"Cursor evaluator (single-pass)",2026-07-15,G04,guest,"Anniversary",Wife,primary_plus_support,Draft,No,,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,N/A,5,5,4,5,4.89,Yes,"Q-DEED-EARLY,Q-SUPPORT-AS-COLOR,Q-SPOKEN-RHYTHM,Q-EARNED-CLOSE,Q-REGISTER-TIGHT","Ordinary Tuesdays dominant; toast callback subordinate; deep without cheese."
pilot-9A.2-20260715,"Cursor evaluator (single-pass)",2026-07-15,G05,guest,"Holiday",Dad,primary_only,Draft,No,,5,4,4,5,5,4,5,5,5,5,4,5,N/A,5,4,N/A,4,5,5,5,4.67,Yes,"Q-DEED-EARLY,Q-EARNED-CLOSE,Q-REGISTER-TIGHT,Q-HONEST-SPARSE","Storm drive named immediately; Christmas table anchored; warm not mushy."
pilot-9A.2-20260715,"Cursor evaluator (single-pass)",2026-07-15,G06,guest,"Sympathy",Friend,primary_only,Draft,No,,5,5,4,5,5,4,5,5,5,5,5,5,N/A,4,5,N/A,4,5,5,5,4.78,Yes,"Q-REGISTER-TIGHT,Q-EARNED-CLOSE,Q-HONEST-SPARSE","Loss acknowledged; practical offers without cheerleading or invented past."
pilot-9A.2-20260715,"Cursor evaluator (single-pass)",2026-07-15,G07,guest,"Congratulations",Son,primary_plus_support,Draft,No,,5,5,4,5,5,4,5,5,5,5,4,5,5,5,4,N/A,5,5,5,5,4.79,Yes,"Q-DEED-EARLY,Q-SUPPORT-AS-COLOR,Q-SPOKEN-RHYTHM,Q-EARNED-CLOSE","Marathon + mile-18 text; pride without lecture."
pilot-9A.2-20260715,"Cursor evaluator (single-pass)",2026-07-15,G08,guest,"Apology",Husband,primary_plus_support,Draft,No,,4,4,5,4,5,4,5,5,5,5,5,5,5,5,4,N/A,4,4,3,4,4.47,Yes,"Q-DEED-EARLY,Q-SUPPORT-AS-COLOR,P-AI-CLAIMS,P-LENGTH-BLOAT","Owns snap + Saturday intent; slight I-see-it claim and length."
pilot-9A.2-20260715,"Cursor evaluator (single-pass)",2026-07-15,G09,guest,"Just Because",Daughter,primary_only,Draft,No,,4,4,4,4,4,3,4,5,5,4,4,5,N/A,5,4,N/A,4,4,4,4,4.17,Yes,"Q-DEED-EARLY,Q-REGISTER-TIGHT","Pancake mornings center; quiet Sunday close; mild thank framing for missing."
pilot-9A.2-20260715,"Cursor evaluator (single-pass)",2026-07-15,G10,guest,"Thinking Of You",Grandparent,sparse,Draft,No,,3,4,3,4,4,3,4,4,4,4,4,4,N/A,3,4,N/A,3,4,4,3,3.67,Yes,"Q-HONEST-SPARSE,Q-REGISTER-TIGHT","Honest sparse; a bit flat/repetitive but invent-free."
