corpus_id,reviewer,date,scenario_id,flow,occasion,relationship,context_richness,version,hf_any,hf_codes,d01_opening,d02_closing,d03_emotion_prog,d04_naturalness,d05_authenticity,d06_rhythm,d07_voice,d08_occasion,d09_relationship,d10_tone,d11_emotional_level,d12_primary_clarity,d13_support_use,d14_specificity,d15_warmth,d16_humor,d17_memorability,d18_read_aloud,d19_anti_ai,d20_send_readiness,soft_mean,send_yes,tags,notes_short
pilot-9B.2-v1-20260720,Cursor evaluator (single-pass),2026-07-20,G01,guest,Thank You,Mom,primary_plus_support,Draft,No,,4,5,4,4,4,4,5,5,5,4,4,5,5,5,4,N/A,4,4,4,5,4.42,Yes,"Q-DEED-EARLY,Q-SUPPORT-AS-COLOR,Q-EARNED-CLOSE,Q-REGISTER-TIGHT",Insurance early; toe-to-toe as fight color; breathe-easier close holds.
pilot-9B.2-v1-20260720,Cursor evaluator (single-pass),2026-07-20,G02,guest,Thank You,Mom,primary_only,Draft,No,,3,3,3,3,3,3,3,4,4,4,4,5,N/A,3,3,N/A,2,3,3,3,3.28,Yes,"Q-DEED-EARLY,Q-HONEST-SPARSE,P-UNIFORM-SENTENCES",Simple still flat; process-line generic; subject clear.
pilot-9B.2-v1-20260720,Cursor evaluator (single-pass),2026-07-20,G03,guest,Birthday,Friend,sparse,Draft,No,,4,4,3,4,4,4,5,5,4,5,5,4,N/A,3,4,5,4,4,4,4,4.16,Yes,"Q-HUMOR-LANDS,Q-HONEST-SPARSE,Q-SPOKEN-RHYTHM",Calendar gag + cake-for-breakfast; invent-free Funny.
pilot-9B.2-v1-20260720,Cursor evaluator (single-pass),2026-07-20,G04,guest,Anniversary,Wife,primary_plus_support,Draft,No,,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,N/A,5,5,4,5,4.89,Yes,"Q-DEED-EARLY,Q-SUPPORT-AS-COLOR,Q-SPOKEN-RHYTHM,Q-EARNED-CLOSE,Q-REGISTER-TIGHT",Ordinary Tuesdays + toast; choose-you close. Protect HOLD.
pilot-9B.2-v1-20260720,Cursor evaluator (single-pass),2026-07-20,G05,guest,Holiday,Dad,primary_only,Draft,No,,5,5,4,5,5,4,5,5,5,5,4,5,N/A,5,4,N/A,4,5,5,5,4.72,Yes,"Q-DEED-EARLY,Q-EARNED-CLOSE,Q-REGISTER-TIGHT,Q-HONEST-SPARSE",Storm drive + Christmas table; concrete home close.
pilot-9B.2-v1-20260720,Cursor evaluator (single-pass),2026-07-20,G06,guest,Sympathy,Friend,primary_only,Draft,No,,5,5,4,5,5,4,5,5,5,5,5,5,N/A,4,5,N/A,4,5,5,5,4.78,Yes,"Q-REGISTER-TIGHT,Q-EARNED-CLOSE,Q-HONEST-SPARSE",Loss acknowledged; practical offers; no cheerleading.
pilot-9B.2-v1-20260720,Cursor evaluator (single-pass),2026-07-20,G07,guest,Congratulations,Son,primary_plus_support,Draft,No,,5,4,4,5,5,4,5,5,5,5,4,5,5,5,4,N/A,4,5,4,5,4.63,Yes,"Q-DEED-EARLY,Q-SUPPORT-AS-COLOR,Q-SPOKEN-RHYTHM,Q-EARNED-CLOSE",Marathon + mile-18 held; lost sleep-past-sunrise color; thinner close. Soft protect dip.
pilot-9B.2-v1-20260720,Cursor evaluator (single-pass),2026-07-20,G08,guest,Apology,Husband,primary_plus_support,Draft,No,,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,N/A,4,5,5,5,4.84,Yes,"Q-DEED-EARLY,Q-SUPPORT-AS-COLOR,Q-EARNED-CLOSE,Q-REGISTER-TIGHT",Owns snap + Saturday intent; clean reset; no I-see claim.
pilot-9B.2-v1-20260720,Cursor evaluator (single-pass),2026-07-20,G09,guest,Just Because,Daughter,primary_only,Draft,No,,4,4,4,4,4,4,4,5,5,4,4,5,N/A,5,4,N/A,4,4,4,4,4.22,Yes,"Q-DEED-EARLY,Q-REGISTER-TIGHT,Q-EARNED-CLOSE",Pancake mornings center; bring-it-back close.
pilot-9B.2-v1-20260720,Cursor evaluator (single-pass),2026-07-20,G10,guest,Thinking Of You,Grandparent,sparse,Draft,No,,3,3,2,3,4,2,4,4,4,4,4,4,N/A,2,4,N/A,2,3,4,3,3.28,Yes,"Q-HONEST-SPARSE,Q-REGISTER-TIGHT",Invent-free but still thin/flat; filler love line.
